GOLD,SILVER,BRONZE,RANK_NUMBER,TOTAL,RANK_BY_TOTAL,TEAM_NOC
39,41,33,1,113,1,United States of America
38,32,18,2,88,2,People's Republic of China
27,14,17,3,58,5,Japan
22,21,22,4,65,4,Great Britain
20,28,23,5,71,3,ROC
17,7,22,6,46,6,Australia
10,12,14,7,36,9,Netherlands
10,12,11,8,33,10,France
10,11,16,9,37,8,Germany
10,10,20,10,40,7,Italy
7,6,11,11,24,11,Canada
7,6,8,12,21,12,Brazil
7,6,7,13,20,13,New Zealand
7,3,5,14,15,18,Cuba
6,7,7,15,20,13,Hungary
6,4,10,16,20,13,Republic of Korea
4,5,5,17,14,19,Poland
4,4,3,18,11,23,Czech Republic
4,4,2,19,10,25,Kenya
4,2,2,20,8,29,Norway
4,1,4,21,9,26,Jamaica
3,8,6,22,17,17,Spain
3,6,0,23,9,26,Sweden
3,4,6,24,13,20,Switzerland
3,4,4,25,11,23,Denmark
3,3,2,26,8,29,Croatia
3,2,2,27,7,33,Islamic Republic of Iran
3,1,5,28,9,26,Serbia
3,1,3,29,7,33,Belgium
3,1,2,30,6,39,Bulgaria
3,1,1,31,5,42,Slovenia
3,0,2,32,5,42,Uzbekistan
2,5,1,33,8,29,Georgia
2,4,6,34,12,22,Chinese Taipei
2,2,9,35,13,20,Turkey
2,1,1,36,4,47,Greece
2,1,1,36,4,47,Uganda
2,1,0,38,3,60,Ecuador
2,0,2,39,4,47,Ireland
2,0,2,39,4,47,Israel
2,0,1,41,3,60,Qatar
2,0,0,42,2,66,Bahamas
2,0,0,42,2,66,Kosovo
1,6,12,44,19,16,Ukraine
1,3,3,45,7,33,Belarus
1,3,0,46,4,47,Romania
1,3,0,46,4,47,Venezuela
1,2,4,48,7,33,India
1,2,3,49,6,39,"Hong Kong, China"
1,2,1,50,4,47,Philippines
1,2,1,50,4,47,Slovakia
1,2,0,52,3,60,South Africa
1,1,5,53,7,33,Austria
1,1,4,54,6,39,Egypt
1,1,3,55,5,42,Indonesia
1,1,2,56,4,47,Ethiopia
1,1,2,56,4,47,Portugal
1,1,0,58,2,66,Tunisia
1,0,1,59,2,66,Estonia
1,0,1,59,2,66,Fiji
1,0,1,59,2,66,Latvia
1,0,1,59,2,66,Thailand
1,0,0,63,1,77,Bermuda
1,0,0,63,1,77,Morocco
1,0,0,63,1,77,Puerto Rico
0,4,1,66,5,42,Colombia
0,3,4,67,7,33,Azerbaijan
0,3,2,68,5,42,Dominican Republic
0,2,2,69,4,47,Armenia
0,2,1,70,3,60,Kyrgyzstan
0,1,3,71,4,47,Mongolia
0,1,2,72,3,60,Argentina
0,1,2,72,3,60,San Marino
0,1,1,74,2,66,Jordan
0,1,1,74,2,66,Malaysia
0,1,1,74,2,66,Nigeria
0,1,0,77,1,77,Bahrain
0,1,0,77,1,77,Saudi Arabia
0,1,0,77,1,77,Lithuania
0,1,0,77,1,77,North Macedonia
0,1,0,77,1,77,Namibia
0,1,0,77,1,77,Turkmenistan
0,0,8,83,8,29,Kazakhstan
0,0,4,84,4,47,Mexico
0,0,2,85,2,66,Finland
0,0,1,86,1,77,Botswana
0,0,1,86,1,77,Burkina Faso
0,0,1,86,1,77,Côte d'Ivoire
0,0,1,86,1,77,Ghana
0,0,1,86,1,77,Grenada
0,0,1,86,1,77,Kuwait
0,0,1,86,1,77,Republic of Moldova
0,0,1,86,1,77,Syrian Arab Republic
